Dataset Reg ID,Dataset Name,Dataset Description,Dataset Type,Cloud ID,Data Source System,Dataset Layer,Dataset Classification Type,Topic,Topic Category,Business Owner,Technical POC,S3 Bucket/AWS Service,Structured Data,Cloud Database Name,Table Name,File Format,Refresh Type,Refresh Frequency,Dataset Data Retention Period,Attribute Reg ID,Physical Attribute Name,Logical Attribute Name,Technical_metadata_description,Sequence Number,DataType,Length Precision,Scale,Format,Dataset Schema Version,Virtual Folder Name,Profiled Status,Reported Format,Datasource URI,Profiled Attribute Name,Reported Attribute Name,Sequence Field Index,Profiled Data Type,Reported Data Type,Value Count,Min Value,Max Value,Null Count,Density,Date Time Count,Numeric Count,String Count,Boolean Count,Cardinality,Selectivity,Field Level Tag(s),Resource Tag(s),Total Tag Count,Glossary Name,Business Definition,Business Segment,MISMO_Domain_Taxonomy,MISMO_Domain_Business_Concept,ELDM_PrimeBusiness_Concept,MISMO_Attribute_Name
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,frst_dat_fix,First Payment Date,Date when first mortgage payment was made,2,TIMESTAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,frst_homebyer_flg,First Time Homebuyer Flag,Flag set to 1 if the buyer is first time home buyer else 0,3,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,maturity_dt,Maturity Date,Mortgage Maturity date,4,TIMESTAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,MSA_Code,Metropolitan Statistical Area (MSA) Or Metropolitan Division,MSA values from the 2010 census and 2013 census were applied to all loans in the Single Family Loan-Level Dataset.,5,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,MI_percent,Mortgage Insurance Percentage (MI %),Mortgage Insurance percent during Origination,6,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,num_units,Number of Units,"Propertiesâ€™s number of units.1-4 for Single family, more for Co-Op, Condo etc ",7,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,occ_status,Occupancy Status,"Denotes whether the mortgage type is owner occupied, second home, or investment property.",8,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,CLTV,Original Combined Loan-to-Value (CLTV),Original Combined Loan-to-Value during Origination,9,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Orig_DTI,Original Debt-to-Income (DTI) Ratio,Debt to Income ratio at the time of origination,10,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Orig_UPB,Original UPB,Unpaid Principal Balance at the time of origination,11,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,OLTV,Original Loan-to-Value (LTV),Loan to value at the time of origination,12,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Orig_IR,Original Interest Rate,Loanâ€™s Interest Rate at the time of Origination,13,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,PPM_Flag,Prepayment Penalty Mortgage (PPM) Flag,"Denotes whether the mortgage is a PPM. A PPM is a mortgage with respect to which the borrower is, or at any time has been, obligated to pay a penalty in the event of certain repayments of principal.",15,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,AMI_Type,Amortization Type (Formerly Product Type),Amortization Type (Formerly Product Type),16,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Prop_state,Property State,State the originated mortgage belongs to,17,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Zip_Code,Postal Code,Zip code at origination,19,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Loan_Seq_Num,Loan Sequence Number,Loan Sequence Number. Proxy for the loan number,20,NUMBER,,,PYYQnXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Loan_Purpose,Loan Purpose,"Indicates whether the mortgage loan is a Cash-out Refinance mortgage, No Cash-out Refinance mortgage, or a Purchase mortgage.",21,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Orig_Loan_Term,Original Loan Term,Number of terms for the originated mortgage,22,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Num_borrower,Number of Borrowers,The number of Borrower(s) who are obligated to repay the mortgage note secured by the mortgaged property. Disclosure denotes only whether there is one borrower or more than one borrower associated with the mortgage note.,23,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Seller_Name,Seller Name,Seller Name,24,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Servicer_Name,Servicer Name,Servicer Name,25,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,SConf_Flag,Super Conforming Flag,Super Conforming Flag,26,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Pre-HARP_Loan_Seq_Num,Pre-HARP Loan Sequence Number,Pre-HARP Loan Sequence Number,27,VARCHAR,,,PYYQnXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Prog_Indicator,Program Indicator,Type of program the loan is originated from,28,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,HARP_Indicator,HARP Indicator,Denotes whether the mortgage is Home Affordable Refinance Program Loan,29,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,Prop_Valu_Method,Property Valuation Method,Property Valuation Method,30,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,IO_Indicator,Interest Only (I/O) Indicator,Interest Only Loan Type,31,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000112,Loan Origination Data,"This table provides information on origination characteristics of all mortgages purchased or guaranteed by Freddie Mac with origination dates between January 1, 1999 and the Origination Cutoff Date",EDL,BPO2234,Loan Origination,S3,External,Freddie Loan Population,Loan Origination Data,toolika@gmail.com,def@gmail.com,s3-us-east-1,Structured,freddie_origination_data,fre_origination_data,PARQUET,Snapshot,Quarterly,Not defined,,MIC_Inidicator,Mortgage Insurance Cancellation Indicator,Mortgage Insurance Cancellation Indicator,32,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000113,Loan Performance Data,This table provides monthly loan-level credit performance data through the Performance Cutoff Date up to property disposition is reported for all loans included in the performance files,EDL,BPO2235,Loan Performance,S3,External,Freddie Loan Population,Loan Performance Data,toolika@gmail.com,ghi@gmail.com,s3-us-east-1,Structured,freddie_performance_data,fre_performance_data,PARQUET,Snapshot,Quarterly,Not defined,,Loan_Seq_Num,Loan Sequence Number,Loan Sequence Number. Proxy for the loan number,1,VARCHAR,,,PYYQnXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000113,Loan Performance Data,This table provides monthly loan-level credit performance data through the Performance Cutoff Date up to property disposition is reported for all loans included in the performance files,EDL,BPO2235,Loan Performance,S3,External,Freddie Loan Population,Loan Performance Data,toolika@gmail.com,ghi@gmail.com,s3-us-east-1,Structured,freddie_performance_data,fre_performance_data,PARQUET,Snapshot,Quarterly,Not defined,,rpt_per,Monthly Reporting Period,Denotes monthly reporting period for performance dataset,2,TIMESTAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000113,Loan Performance Data,This table provides monthly loan-level credit performance data through the Performance Cutoff Date up to property disposition is reported for all loans included in the performance files,EDL,BPO2235,Loan Performance,S3,External,Freddie Loan Population,Loan Performance Data,toolika@gmail.com,ghi@gmail.com,s3-us-east-1,Structured,freddie_performance_data,fre_performance_data,PARQUET,Snapshot,Quarterly,Not defined,,curr_upb,Current Actual UPB,UPB reported with the monthly performance data update at loan level,3,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000113,Loan Performance Data,This table provides monthly loan-level credit performance data through the Performance Cutoff Date up to property disposition is reported for all loans included in the performance files,EDL,BPO2235,Loan Performance,S3,External,Freddie Loan Population,Loan Performance Data,toolika@gmail.com,ghi@gmail.com,s3-us-east-1,Structured,freddie_performance_data,fre_performance_data,PARQUET,Snapshot,Quarterly,Not defined,,curr_loan_dlq_status,Current Loan Delinquency Status,Deliquency status with the monthly performance data. Update,4,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSET000113,Loan Performance Data,This table provides monthly loan-level credit performance data through the Performance Cutoff Date up to property disposition is reported for all loans included in the performance files,EDL,BPO2235,Loan Performance,S3,External,Freddie Loan Population,Loan Performance Data,toolika@gmail.com,ghi@gmail.com,s3-us-east-1,Structured,freddie_performance_data,fre_performance_data,PARQUET,Snapshot,Quarterly,Not defined,,loan_age,Loan Age,Difference in months between loans first payment date and current period of loan plus one month,5,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
