Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Profiled Status,Reported Format,Datasource URI,Profiled Attribute Name,Reported Attribute Name,Sequence Field Index,Profiled Data Type,Reported Data Type,Value Count,Min Value,Max Value,Null Count,Density,Date Time Count,Numeric Count,String Count,Boolean Count,Cardinality,Selectivity,Field Level Tag(s),Resource Tag(s),Total Tag Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,fcl_date,fcl_date,52,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,disp_date,disp_date,53,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,fcl_cost,fcl_cost,54,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,pp_cost,pp_cost,55,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ar_cost,ar_cost,56,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,misc_cost,misc_cost,57,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,tax_cost,tax_cost,58,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,net_sales_procs,net_sales_procs,59,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ce_procs,ce_procs,60,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,repurchase_mkwhl_procs,repurchase_mkwhl_procs,61,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,other_fcl_procs,other_fcl_procs,62,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,mod_non_int_bear_upb,mod_non_int_bear_upb,63,"Numeric (22,4)","Numeric (22,4)",21,0,0,9479,0.002210526,0,21,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,principal_forgive_amt,principal_forgive_amt,64,"Numeric (22,4)","Numeric (22,4)",187,0,0,9313,0.019684211,0,187,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,orig_list_strt_date,orig_list_strt_date,65,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,orig_list_pric,orig_list_pric,66,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,curr_list_strt_date,curr_list_strt_date,67,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,curr_list_price,curr_list_price,68,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,brwr_csr_issuance,brwr_csr_issuance,69,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,co_brwr_csr_issuance,co_brwr_csr_issuance,70,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,brwr_csr_curr,brwr_csr_curr,71,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,co_brwr_csr_curr,co_brwr_csr_curr,72,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,mrtg_insur_type,mrtg_insur_type,73,integer,integer,4134,1,3,5366,0.435157895,0,4134,0,0,3,0.000725689,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,servicing_acvty_ind,servicing_acvty_ind,74,Varchar(1),Varchar(1),9398,1,Y,102,0.989263158,0,0,9398,0,3,0.000319217,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,curr_mod_loss_amt,curr_mod_loss_amt,75,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,cum_mod_loss_amt,cum_mod_loss_amt,76,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,curr_ce_net_gainloss,curr_ce_net_gainloss,77,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,cum_ce_net_gainloss,cum_ce_net_gainloss,78,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,spcl_elgbl_prog,spcl_elgbl_prog,79,"Numeric (22,4)","Numeric (22,4)",8519,7,7,981,0.896736842,0,8519,0,0,3,0.000352154,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,fcl_principal_writeoff_amt,fcl_principal_writeoff_amt,80,"Numeric (22,4)","Numeric (22,4)",188,0,H,9312,0.019789474,0,0,188,0,2,0.010638298,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,relo_mrtg_ind,relo_mrtg_ind,81,BOOLEAN,Varchar(1),9499,N,Y,1,0.999894737,0,0,0,9499,2,0.000210548,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,zb_code_change_date,zb_code_change_date,82,BOOLEAN,Varchar(1),1,N,N,9499,0.000105263,0,0,1,1,1,1.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,holdback_ind,holdback_ind,83,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,holdback_effective_date,holdback_effective_date,84,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,dlq_accr_int,dlq_accr_int,85,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,prop_valu_method,prop_valu_method,86,Varchar(1),Varchar(1),9499,A,W,1,0.999894737,0,0,9499,0,3,0.000315823,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,high_balance_loan_ind,high_balance_loan_ind,87,Varchar(1),Varchar(1),9500,A,Y,0,1.0,0,0,9500,0,3,0.000315789,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ARM_ini_fixed_rate_per,ARM_ini_fixed_rate_per,88,BOOLEAN,Varchar(1),1,N,N,9499,0.000105263,0,0,0,1,1,1.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ARM_prod_type,ARM_prod_type,89,BOOLEAN,Varchar(1),0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,initial_fixed_rate_per,initial_fixed_rate_per,90,Numeric(5.2),Numeric(5.2),0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,int_rate_adj_freq,int_rate_adj_freq,91,Numeric(5.2),Numeric(5.2),0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,next_int_rate_adj_date,next_int_rate_adj_date,92,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,next_pmt_chng_date,next_pmt_chng_date,93,Date,Date,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,index,index,94,Integer,Integer,0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ARM_cap_structure,ARM_cap_structure,95,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ini_int_rate_cap_per,ini_int_rate_cap_per,96,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,per_int_rate_cap_per,per_int_rate_cap_per,97,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,lifetime_int_rate_cap_per,lifetime_int_rate_cap_per,98,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,mrtg_margin,mrtg_margin,99,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ARM_balloon_ind,ARM_balloon_ind,100,BOOLEAN,Varchar(1),0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,ARM_plan_num,ARM_plan_num,101,"Numeric (22,4)","Numeric (22,4)",0,,,9500,0.0,0,0,0,0,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,brwr_assist_plan,brwr_assist_plan,102,Varchar(1),Varchar(1),8737,7,7,763,0.919684211,0,8737,0,0,4,0.000457823,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,HLTV,HLTV,103,BOOLEAN,Varchar(1),9499,N,N,1,0.999894737,0,0,0,9499,1,0.000105274,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,deal_name,deal_name,104,BOOLEAN,Varchar(1),1,N,N,9499,0.000105263,0,0,0,1,1,1.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,repurchase_mkwh_proc_flag,repurchase_mkwh_proc_flag,105,BOOLEAN,Varchar(1),102,N,Y,9398,0.010736842,0,0,0,102,2,0.019607843,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,alt_dlq_reso,alt_dlq_reso,106,Varchar(1),Varchar(1),8919,7,7,581,0.938842105,0,8919,0,0,3,0.000336361,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,alt_dlq_reso_cnt,alt_dlq_reso_cnt,107,BOOLEAN,Varchar(1),165,1,2,9335,0.017368421,0,0,0,165,0,0.0,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,tot_deferral_amt,tot_deferral_amt,108,"Numeric (22,4)","Numeric (22,4)",165,2679.96,24729.77,9335,0.017368421,0,165,0,0,10,0.060606061,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,pay_deferral_mod_ind,pay_deferral_mod_ind,109,BOOLEAN,Varchar(1),9499,7,7,1,0.999894737,0,0,0,9499,1,0.000105274,,,
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,Profiled,csv,s3-us-east-2,int_ubp,int_ubp,110,BOOLEAN,Varchar(1),1,7,7,9499,0.000105263,0,0,0,1,1,1.0,,,
